SYMBOL,r_PC1,t,p valor,p ajustado,enlace
PSMD9,1.0,inf,0.0,0.0,"<a href=""https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD9"" target=""_blank"">PSMD9</a>"
GLRX2,0.9930069930069931,26.59903704892031,1.3016730560634587e-10,9.841733031386466e-08,"<a href=""https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLRX2"" target=""_blank"">GLRX2</a>"
ENTR1,0.9930069930069931,26.59903704892031,1.3016730560634587e-10,9.841733031386466e-08,"<a href=""https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENTR1"" target=""_blank"">ENTR1</a>"
EFCAB11,0.9930069930069931,26.59903704892031,1.3016730560634587e-10,9.841733031386466e-08,"<a href=""https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFCAB11"" target=""_blank"">EFCAB11</a>"
SELENBP1,0.9930069930069931,26.59903704892031,1.3016730560634587e-10,9.841733031386466e-08,"<a href=""https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELENBP1"" target=""_blank"">SELENBP1</a>"
TRAPPC2,0.9930069930069931,26.59903704892031,1.3016730560634587e-10,9.841733031386466e-08,"<a href=""https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC2"" target=""_blank"">TRAPPC2</a>"
NFU1,0.9930069930069931,26.59903704892031,1.3016730560634587e-10,9.841733031386466e-08,"<a href=""https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFU1"" target=""_blank"">NFU1</a>"
VPS8,0.9930069930069931,26.59903704892031,1.3016730560634587e-10,9.841733031386466e-08,"<a href=""https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS8"" target=""_blank"">VPS8</a>"
ZNF69,0.9930069930069931,26.59903704892031,1.3016730560634587e-10,9.841733031386466e-08,"<a href=""https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF69"" target=""_blank"">ZNF69</a>"
CDC14B,0.9930069930069931,26.59903704892031,1.3016730560634587e-10,9.841733031386466e-08,"<a href=""https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC14B"" target=""_blank"">CDC14B</a>"
SS18,0.9930069930069931,26.59903704892031,1.3016730560634587e-10,9.841733031386466e-08,"<a href=""https://www.genecards.org/cgi-bin/carddisp.pl?gene=SS18"" target=""_blank"">SS18</a>"
KLHL7,0.9930069930069931,26.59903704892031,1.3016730560634587e-10,9.841733031386466e-08,"<a href=""https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLHL7"" target=""_blank"">KLHL7</a>"
SMYD2,0.9860139860139862,18.708757458308312,4.116895911654284e-09,1.2880205726358385e-06,"<a href=""https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMYD2"" target=""_blank"">SMYD2</a>"
WDR12,0.9860139860139862,18.708757458308312,4.116895911654284e-09,1.2880205726358385e-06,"<a href=""https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR12"" target=""_blank"">WDR12</a>"
MSL3,0.9860139860139862,18.708757458308312,4.116895911654284e-09,1.2880205726358385e-06,"<a href=""https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSL3"" target=""_blank"">MSL3</a>"
ZNF431,0.9860139860139862,18.708757458308312,4.116895911654284e-09,1.2880205726358385e-06,"<a href=""https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF431"" target=""_blank"">ZNF431</a>"
